id_number,B201217555
categorize,Collision Processes
collision_data_categorize,Rate Coefficient
collision_process,Ionization
sub_process,Partial
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Experimental Data
reaction_formula,O2+ + C2H2 -> C2H2+ + O2
reference_number,2012000650
author,Paul F. Wilson### Colin G. Freeman### Murray J. McEwan
title_of_record,Reactions of small hydrocarbons with H3O+, O2+ and NO+ ions
journal_name,Int. J. Mass Spectrom.
volume_and_issue_No,229
page_number,143
date_of_publication,2003
